Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age
0.87,15000,2,1,1,0,10
35.96,78000,1,0,0,0,12
0.74,5000,2,1,1,0,11
0.87,3000,2,1,1,0,9
6.1,31427,2,0,1,0,11
8.89,20273,1,0,1,0,10
6.76,71000,1,0,1,0,12
8.7,21200,2,0,1,0,9
36.23,6000,1,0,0,0,9
2.69,50000,2,0,1,0,14
13.6,68000,1,0,1,0,11
0.52,15000,2,1,1,0,9
7.87,24524,2,0,0,0,10
1.47,46500,2,1,1,0,13
5.9,9800,2,0,1,0,13
4.43,12500,2,0,1,0,10
0.99,45000,2,1,1,0,13
3.46,45280,2,0,1,0,12
5.8,40023,2,0,1,0,11
1.78,6000,2,1,1,0,10
7.85,40000,1,0,1,0,11
5.7,34797,2,0,0,0,11
13.6,22671,2,0,1,0,10
7.98,62000,2,0,1,0,23
7.13,34000,2,0,1,0,12
8.4,12000,2,0,1,0,10
7.0,36054,2,0,1,0,12
0.58,53000,2,1,1,0,19
7.21,77427,2,0,1,0,17
4.15,65000,2,0,1,0,20
22.78,89000,2,0,0,0,18
7.0,40026,2,0,1,0,11
4.43,57000,2,0,1,0,15
6.8,16500,2,0,1,0,12
6.79,58000,1,0,1,1,16
0.826,23000,2,1,1,0,12
8.06,45780,1,0,1,0,12
4.43,15000,2,0,1,0,10
0.81,19000,2,1,1,0,14
0.75,60000,2,1,1,0,18
4.43,38488,2,0,1,0,9
5.35,53675,2,0,1,0,14
4.15,5200,2,0,1,0,15
2.37,21700,2,1,1,0,11
30.61,135000,1,1,0,0,13
0.95,500,2,1,1,0,10
9.9,48000,1,0,1,0,12
9.54,43000,1,0,1,0,13
9.29,37000,2,0,0,0,9
14.89,23000,1,0,1,0,10
5.7,3493,2,0,1,1,10
8.06,45000,1,0,1,0,12
16.09,58242,1,0,1,0,12
19.77,15000,1,0,0,0,9
7.13,35866,2,0,1,1,11
7.71,26000,2,0,1,0,11
6.05,47000,2,0,1,0,13
0.55,1000,2,1,1,0,10
13.09,60076,1,0,1,0,11
0.81,11800,2,1,1,0,9
13.6,34000,2,0,1,0,11
7.6,7000,2,0,1,0,10
10.21,90000,2,1,1,0,21
30.61,104707,1,0,0,0,14
0.72,38600,2,1,1,0,11
0.57,55000,2,1,1,0,21
12.5,9000,1,0,1,0,9
0.51,32000,2,1,1,0,13
0.54,14000,2,1,1,0,11
6.8,39485,2,0,1,1,12
7.71,25870,2,0,1,0,11
9.4,15141,2,0,1,0,9
6.82,31427,2,0,0,0,11
5.71,2400,2,0,1,0,9
0.95,24000,2,1,1,0,15
13.6,24800,2,0,1,0,11
0.57,25000,2,1,1,1,14
13.6,40324,2,0,1,0,11
0.94,24000,2,1,1,0,10
0.87,11000,2,1,1,0,9
0.55,31000,2,1,1,0,10
20.45,50024,1,0,1,0,16
13.74,56000,2,0,1,0,14
5.7,20114,2,0,1,0,9
1.5,6900,2,1,1,0,15
5.9,5464,2,0,1,0,10
3.95,25000,2,0,1,0,10
0.57,18000,2,1,1,0,13
12.48,45000,1,0,1,0,15
3.45,16500,2,1,1,1,12
10.0,69341,2,0,1,0,15
1.78,4000,2,1,1,0,9
